#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.018433 -0.338288 -999 -999 -999
-999 -999 -999 0.022529 -0.388149 -999 -999 -999
-999 -999 -999 0.036354 -0.409049 -999 -999 -999
-999 -999 -999 0.041987 -0.453891 -999 -999 -999
-999 -999 -999 0.047107 -0.477288 -999 -999 -999
-999 -999 -999 0.081413 -0.507793 -999 -999 -999
-999 -999 -999 0.088070 -0.506297 -999 -999 -999
-999 -999 -999 0.129032 -0.562015 -999 -999 -999
-999 -999 -999 0.144393 -0.611133 -999 -999 -999
-999 -999 -999 0.201741 -0.617911 -999 -999 -999
-999 -999 -999 0.218638 -0.615277 -999 -999 -999
-999 -999 -999 0.240143 -0.608626 -999 -999 -999
-999 -999 -999 0.295443 -0.638720 -999 -999 -999
-999 -999 -999 0.415259 -0.659153 -999 -999 -999
-999 -999 -999 0.406042 -0.649386 -999 -999 -999
-999 -999 -999 0.374296 -0.643229 -999 -999 -999
-999 -999 -999 0.337430 -0.651206 -999 -999 -999
-999 -999 -999 0.525346 -0.689042 -999 -999 -999
-999 -999 -999 0.489503 -0.700442 -999 -999 -999
-999 -999 -999 0.432156 -0.689882 -999 -999 -999
-999 -999 -999 0.597030 -0.644851 -999 -999 -999
-999 -999 -999 0.545315 -0.743102 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=7.987200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.367736 -999 -999 -999
-999 -999 -999 0.989759 0.461827 -999 -999 -999
-999 -999 -999 0.986687 0.466809 -999 -999 -999
-999 -999 -999 0.823349 -0.705748 -999 -999 -999
-999 -999 -999 0.822837 -0.767213 -999 -999 -999
-999 -999 -999 0.823349 -0.445613 -999 -999 -999
-999 -999 -999 0.740399 -0.518335 -999 -999 -999
-999 -999 -999 0.699949 -0.203564 -999 -999 -999
-999 -999 -999 0.602663 -0.051273 -999 -999 -999
-999 -999 -999 0.000512 0.252402 -999 -999 -999
-999 -999 -999 0.000000 0.478354 -999 -999 -999
-999 -999 -999 0.002048 0.169214 -999 -999 -999
-999 -999 -999 0.985151 0.430391 -999 -999 -999
-999 -999 -999 0.969278 0.050254 -999 -999 -999
-999 -999 -999 0.951357 0.006827 -999 -999 -999
-999 -999 -999 0.943164 -0.049144 -999 -999 -999
-999 -999 -999 0.919611 -0.021224 -999 -999 -999
-999 -999 -999 0.899642 -0.025073 -999 -999 -999
-999 -999 -999 0.886329 -0.036469 -999 -999 -999
-999 -999 -999 0.006656 0.001191 -999 -999 -999
-999 -999 -999 0.006656 0.100652 -999 -999 -999
-999 -999 -999 0.006656 -0.086229 -999 -999 -999
-999 -999 -999 0.011777 -0.198969 -999 -999 -999
-999 -999 -999 0.015873 -0.290115 -999 -999 -999
-999 -999 -999 0.017921 -0.330197 -999 -999 -999
-999 -999 -999 0.022529 -0.378078 -999 -999 -999
-999 -999 -999 0.037890 -0.415882 -999 -999 -999
-999 -999 -999 0.042499 -0.467849 -999 -999 -999
-999 -999 -999 0.046595 -0.495078 -999 -999 -999
-999 -999 -999 0.081925 -0.542173 -999 -999 -999
-999 -999 -999 0.088070 -0.522797 -999 -999 -999
-999 -999 -999 0.130056 -0.587844 -999 -999 -999
-999 -999 -999 0.144393 -0.650209 -999 -999 -999
-999 -999 -999 0.203789 -0.624026 -999 -999 -999
-999 -999 -999 0.219662 -0.636137 -999 -999 -999
-999 -999 -999 0.239631 -0.620324 -999 -999 -999
-999 -999 -999 0.298003 -0.644231 -999 -999 -999
-999 -999 -999 0.416283 -0.654871 -999 -999 -999
-999 -999 -999 0.408602 -0.646789 -999 -999 -999
-999 -999 -999 0.381464 -0.672018 -999 -999 -999
-999 -999 -999 0.338454 -0.688173 -999 -999 -999
-999 -999 -999 0.524834 -0.718831 -999 -999 -999
-999 -999 -999 0.490527 -0.735593 -999 -999 -999
-999 -999 -999 0.431132 -0.712066 -999 -999 -999
-999 -999 -999 0.602663 -0.683782 -999 -999 -999
-999 -999 -999 0.546339 -0.759740 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=8.192000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.389769 -999 -999 -999
-999 -999 -999 0.988735 0.477788 -999 -999 -999
-999 -999 -999 0.986687 0.479242 -999 -999 -999
-999 -999 -999 0.609319 -0.742889 -999 -999 -999
-999 -999 -999 0.603687 -0.811611 -999 -999 -999
-999 -999 -999 0.740399 -0.479281 -999 -999 -999
-999 -999 -999 0.701997 -0.553047 -999 -999 -999
-999 -999 -999 0.819764 -0.208896 -999 -999 -999
-999 -999 -999 0.824373 0.016393 -999 -999 -999
-999 -999 -999 0.000512 0.205813 -999 -999 -999
-999 -999 -999 0.000000 0.457151 -999 -999 -999
-999 -999 -999 0.002048 0.155582 -999 -999 -999
-999 -999 -999 0.985663 0.443642 -999 -999 -999
-999 -999 -999 0.969278 0.082168 -999 -999 -999
-999 -999 -999 0.951869 0.034239 -999 -999 -999
-999 -999 -999 0.943164 -0.027600 -999 -999 -999
-999 -999 -999 0.918075 0.007004 -999 -999 -999
-999 -999 -999 0.899642 0.007262 -999 -999 -999
-999 -999 -999 0.887353 -0.005083 -999 -999 -999
-999 -999 -999 0.827957 0.001166 -999 -999 -999
-999 -999 -999 0.005632 0.091342 -999 -999 -999
-999 -999 -999 0.006144 -0.097271 -999 -999 -999
-999 -999 -999 0.007168 -0.225787 -999 -999 -999
-999 -999 -999 0.011777 -0.334745 -999 -999 -999
-999 -999 -999 0.016385 -0.365389 -999 -999 -999
-999 -999 -999 0.017921 -0.388720 -999 -999 -999
-999 -999 -999 0.022529 -0.436731 -999 -999 -999
-999 -999 -999 0.039427 -0.496632 -999 -999 -999
-999 -999 -999 0.043011 -0.512263 -999 -999 -999
-999 -999 -999 0.046595 -0.515901 -999 -999 -999
-999 -999 -999 0.083461 -0.504980 -999 -999 -999
-999 -999 -999 0.087558 -0.555538 -999 -999 -999
-999 -999 -999 0.131592 -0.606347 -999 -999 -999
-999 -999 -999 0.143881 -0.632816 -999 -999 -999
-999 -999 -999 0.206349 -0.629640 -999 -999 -999
-999 -999 -999 0.220686 -0.635078 -999 -999 -999
-999 -999 -999 0.239119 -0.660852 -999 -999 -999
-999 -999 -999 0.300563 -0.662429 -999 -999 -999
-999 -999 -999 0.417819 -0.650914 -999 -999 -999
-999 -999 -999 0.411674 -0.660854 -999 -999 -999
-999 -999 -999 0.390169 -0.679958 -999 -999 -999
-999 -999 -999 0.339990 -0.699160 -999 -999 -999
-999 -999 -999 0.523810 -0.716672 -999 -999 -999
-999 -999 -999 0.491551 -0.707261 -999 -999 -999
-999 -999 -999 0.429595 -0.679411 -999 -999 -999
-999 -999 -999 0.601639 -0.764809 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=8.396800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.411221 -999 -999 -999
-999 -999 -999 0.988229 0.475439 -999 -999 -999
-999 -999 -999 0.986694 0.473712 -999 -999 -999
-999 -999 -999 0.617707 -0.765206 -999 -999 -999
-999 -999 -999 0.605425 -0.850317 -999 -999 -999
-999 -999 -999 0.740532 -0.495688 -999 -999 -999
-999 -999 -999 0.704708 -0.578534 -999 -999 -999
-999 -999 -999 0.814739 -0.207303 -999 -999 -999
-999 -999 -999 0.825486 0.043339 -999 -999 -999
-999 -999 -999 0.001535 0.233301 -999 -999 -999
-999 -999 -999 0.000000 0.477494 -999 -999 -999
-999 -999 -999 0.002559 0.186821 -999 -999 -999
-999 -999 -999 0.986182 0.439457 -999 -999 -999
-999 -999 -999 0.969294 0.116228 -999 -999 -999
-999 -999 -999 0.952917 0.070066 -999 -999 -999
-999 -999 -999 0.943193 0.008186 -999 -999 -999
-999 -999 -999 0.916070 0.039346 -999 -999 -999
-999 -999 -999 0.899181 0.039006 -999 -999 -999
-999 -999 -999 0.887922 0.027632 -999 -999 -999
-999 -999 -999 0.834186 0.027461 -999 -999 -999
-999 -999 -999 0.005118 0.142466 -999 -999 -999
-999 -999 -999 0.006653 -0.077737 -999 -999 -999
-999 -999 -999 0.008188 -0.218239 -999 -999 -999
-999 -999 -999 0.012282 -0.293954 -999 -999 -999
-999 -999 -999 0.017400 -0.327915 -999 -999 -999
-999 -999 -999 0.018424 -0.367885 -999 -999 -999
-999 -999 -999 0.023541 -0.404297 -999 -999 -999
-999 -999 -999 0.041453 -0.482432 -999 -999 -999
-999 -999 -999 0.044524 -0.517719 -999 -999 -999
-999 -999 -999 0.046571 -0.535252 -999 -999 -999
-999 -999 -999 0.084954 -0.529734 -999 -999 -999
-999 -999 -999 0.088025 -0.613552 -999 -999 -999
-999 -999 -999 0.133572 -0.647988 -999 -999 -999
-999 -999 -999 0.144831 -0.647559 -999 -999 -999
-999 -999 -999 0.209314 -0.661454 -999 -999 -999
-999 -999 -999 0.222108 -0.651457 -999 -999 -999
-999 -999 -999 0.238485 -0.667086 -999 -999 -999
-999 -999 -999 0.304504 -0.662652 -999 -999 -999
-999 -999 -999 0.420164 -0.665883 -999 -999 -999
-999 -999 -999 0.415558 -0.693639 -999 -999 -999
-999 -999 -999 0.400716 -0.726848 -999 -999 -999
-999 -999 -999 0.341863 -0.732381 -999 -999 -999
-999 -999 -999 0.523030 -0.744026 -999 -999 -999
-999 -999 -999 0.493347 -0.726286 -999 -999 -999
-999 -999 -999 0.427840 -0.732759 -999 -999 -999
-999 -999 -999 0.600819 -0.785392 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=8.601600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.417825 -999 -999 -999
-999 -999 -999 0.987199 0.452170 -999 -999 -999
-999 -999 -999 0.987199 0.446497 -999 -999 -999
-999 -999 -999 0.626216 -0.730654 -999 -999 -999
-999 -999 -999 0.607271 -0.840943 -999 -999 -999
-999 -999 -999 0.740399 -0.472661 -999 -999 -999
-999 -999 -999 0.707117 -0.561785 -999 -999 -999
-999 -999 -999 0.809524 -0.200577 -999 -999 -999
-999 -999 -999 0.826421 0.042310 -999 -999 -999
-999 -999 -999 0.001024 0.190268 -999 -999 -999
-999 -999 -999 0.000000 0.482570 -999 -999 -999
-999 -999 -999 0.002048 0.154730 -999 -999 -999
-999 -999 -999 0.986687 0.414988 -999 -999 -999
-999 -999 -999 0.969790 0.132459 -999 -999 -999
-999 -999 -999 0.953917 0.092899 -999 -999 -999
-999 -999 -999 0.943676 0.036585 -999 -999 -999
-999 -999 -999 0.913978 0.068877 -999 -999 -999
-999 -999 -999 0.899130 0.068830 -999 -999 -999
-999 -999 -999 0.889401 0.059928 -999 -999 -999
-999 -999 -999 0.841270 0.037695 -999 -999 -999
-999 -999 -999 0.004096 0.125537 -999 -999 -999
-999 -999 -999 0.006144 -0.093483 -999 -999 -999
-999 -999 -999 0.008193 -0.241299 -999 -999 -999
-999 -999 -999 0.011777 -0.335679 -999 -999 -999
-999 -999 -999 0.017921 -0.346366 -999 -999 -999
-999 -999 -999 0.017921 -0.373223 -999 -999 -999
-999 -999 -999 0.023554 -0.436301 -999 -999 -999
-999 -999 -999 0.043523 -0.489385 -999 -999 -999
-999 -999 -999 0.045059 -0.517886 -999 -999 -999
-999 -999 -999 0.046083 -0.534581 -999 -999 -999
-999 -999 -999 0.086022 -0.552626 -999 -999 -999
-999 -999 -999 0.087558 -0.617414 -999 -999 -999
-999 -999 -999 0.135177 -0.610161 -999 -999 -999
-999 -999 -999 0.144393 -0.656397 -999 -999 -999
-999 -999 -999 0.212494 -0.642423 -999 -999 -999
-999 -999 -999 0.223246 -0.665966 -999 -999 -999
-999 -999 -999 0.237071 -0.688575 -999 -999 -999
-999 -999 -999 0.307732 -0.689894 -999 -999 -999
-999 -999 -999 0.421915 -0.674857 -999 -999 -999
-999 -999 -999 0.419355 -0.686399 -999 -999 -999
-999 -999 -999 0.411674 -0.707750 -999 -999 -999
-999 -999 -999 0.343574 -0.730886 -999 -999 -999
-999 -999 -999 0.521761 -0.726121 -999 -999 -999
-999 -999 -999 0.495136 -0.723301 -999 -999 -999
-999 -999 -999 0.426011 -0.714805 -999 -999 -999
-999 -999 -999 0.599590 -0.761772 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=8.806400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.428751 -999 -999 -999
-999 -999 -999 0.987206 0.418535 -999 -999 -999
-999 -999 -999 0.986694 0.409859 -999 -999 -999
-999 -999 -999 0.635107 -0.710856 -999 -999 -999
-999 -999 -999 0.608495 -0.825054 -999 -999 -999
-999 -999 -999 0.740020 -0.462409 -999 -999 -999
-999 -999 -999 0.709826 -0.528418 -999 -999 -999
-999 -999 -999 0.803480 -0.200514 -999 -999 -999
-999 -999 -999 0.827533 0.048020 -999 -999 -999
-999 -999 -999 0.001535 0.205031 -999 -999 -999
-999 -999 -999 0.000000 0.471969 -999 -999 -999
-999 -999 -999 0.002047 0.178880 -999 -999 -999
-999 -999 -999 0.986182 0.380884 -999 -999 -999
-999 -999 -999 0.969294 0.146195 -999 -999 -999
-999 -999 -999 0.954452 0.125399 -999 -999 -999
-999 -999 -999 0.943193 0.079646 -999 -999 -999
-999 -999 -999 0.911975 0.096997 -999 -999 -999
-999 -999 -999 0.898669 0.091413 -999 -999 -999
-999 -999 -999 0.889969 0.084333 -999 -999 -999
-999 -999 -999 0.848004 0.047099 -999 -999 -999
-999 -999 -999 0.003582 0.152586 -999 -999 -999
-999 -999 -999 0.006653 -0.096636 -999 -999 -999
-999 -999 -999 0.009212 -0.247640 -999 -999 -999
-999 -999 -999 0.012282 -0.310307 -999 -999 -999
-999 -999 -999 0.016888 -0.349896 -999 -999 -999
-999 -999 -999 0.017912 -0.393647 -999 -999 -999
-999 -999 -999 0.018936 -0.420574 -999 -999 -999
-999 -999 -999 0.024053 -0.475194 -999 -999 -999
-999 -999 -999 0.045548 -0.512376 -999 -999 -999
-999 -999 -999 0.046059 -0.531845 -999 -999 -999
-999 -999 -999 0.046059 -0.535298 -999 -999 -999
-999 -999 -999 0.068577 -0.620667 -999 -999 -999
-999 -999 -999 0.087513 -0.623758 -999 -999 -999
-999 -999 -999 0.088025 -0.662323 -999 -999 -999
-999 -999 -999 0.137155 -0.656403 -999 -999 -999
-999 -999 -999 0.090583 -0.677416 -999 -999 -999
-999 -999 -999 0.144831 -0.693663 -999 -999 -999
-999 -999 -999 0.215967 -0.683627 -999 -999 -999
-999 -999 -999 0.225179 -0.681201 -999 -999 -999
-999 -999 -999 0.236438 -0.707563 -999 -999 -999
-999 -999 -999 0.311157 -0.756881 -999 -999 -999
-999 -999 -999 0.423746 -0.761123 -999 -999 -999
-999 -999 -999 0.423234 -0.759352 -999 -999 -999
-999 -999 -999 0.422723 -0.740452 -999 -999 -999
-999 -999 -999 0.345957 -0.762367 -999 -999 -999
-999 -999 -999 0.520983 -0.778134 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=9.011200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.433294 -999 -999 -999
-999 -999 -999 0.987199 0.368286 -999 -999 -999
-999 -999 -999 0.986687 0.356466 -999 -999 -999
-999 -999 -999 0.643113 -0.667088 -999 -999 -999
-999 -999 -999 0.610343 -0.783563 -999 -999 -999
-999 -999 -999 0.740399 -0.424912 -999 -999 -999
-999 -999 -999 0.711726 -0.504106 -999 -999 -999
-999 -999 -999 0.798771 -0.188899 -999 -999 -999
-999 -999 -999 0.828469 0.044848 -999 -999 -999
-999 -999 -999 0.001536 0.193301 -999 -999 -999
-999 -999 -999 0.000000 0.484676 -999 -999 -999
-999 -999 -999 0.002048 0.167986 -999 -999 -999
-999 -999 -999 0.985663 0.328699 -999 -999 -999
-999 -999 -999 0.969790 0.124219 -999 -999 -999
-999 -999 -999 0.955453 0.121210 -999 -999 -999
-999 -999 -999 0.943676 0.089881 -999 -999 -999
-999 -999 -999 0.910394 0.090305 -999 -999 -999
-999 -999 -999 0.898618 0.079676 -999 -999 -999
-999 -999 -999 0.890937 0.074501 -999 -999 -999
-999 -999 -999 0.854071 0.039652 -999 -999 -999
-999 -999 -999 0.002560 0.152256 -999 -999 -999
-999 -999 -999 0.006144 -0.074612 -999 -999 -999
-999 -999 -999 0.009217 -0.247401 -999 -999 -999
-999 -999 -999 0.011777 -0.326794 -999 -999 -999
-999 -999 -999 0.015873 -0.355597 -999 -999 -999
-999 -999 -999 0.017921 -0.389135 -999 -999 -999
-999 -999 -999 0.019969 -0.424179 -999 -999 -999
-999 -999 -999 0.024066 -0.496795 -999 -999 -999
-999 -999 -999 0.044035 -0.488674 -999 -999 -999
-999 -999 -999 0.046083 -0.505834 -999 -999 -999
-999 -999 -999 0.046595 -0.507892 -999 -999 -999
-999 -999 -999 0.086534 -0.606308 -999 -999 -999
-999 -999 -999 0.089094 -0.623195 -999 -999 -999
-999 -999 -999 0.138249 -0.678372 -999 -999 -999
-999 -999 -999 0.100870 -0.639248 -999 -999 -999
-999 -999 -999 0.144393 -0.690897 -999 -999 -999
-999 -999 -999 0.218638 -0.717832 -999 -999 -999
-999 -999 -999 0.225806 -0.692659 -999 -999 -999
-999 -999 -999 0.235535 -0.691328 -999 -999 -999
-999 -999 -999 0.314388 -0.707697 -999 -999 -999
-999 -999 -999 0.431644 -0.747390 -999 -999 -999
-999 -999 -999 0.426523 -0.746872 -999 -999 -999
-999 -999 -999 0.424987 -0.746703 -999 -999 -999
-999 -999 -999 0.347158 -0.752966 -999 -999 -999
-999 -999 -999 0.422427 -0.744003 -999 -999 -999
-999 -999 -999 0.519713 -0.778306 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=9.216000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.442138 -999 -999 -999
-999 -999 -999 0.987711 0.331015 -999 -999 -999
-999 -999 -999 0.986687 0.316558 -999 -999 -999
-999 -999 -999 0.649258 -0.610798 -999 -999 -999
-999 -999 -999 0.611367 -0.719496 -999 -999 -999
-999 -999 -999 0.739887 -0.388569 -999 -999 -999
-999 -999 -999 0.713774 -0.445662 -999 -999 -999
-999 -999 -999 0.794675 -0.169685 -999 -999 -999
-999 -999 -999 0.829493 0.050726 -999 -999 -999
-999 -999 -999 0.002048 0.183946 -999 -999 -999
-999 -999 -999 0.000000 0.453920 -999 -999 -999
-999 -999 -999 0.002048 0.167104 -999 -999 -999
-999 -999 -999 0.984639 0.293128 -999 -999 -999
-999 -999 -999 0.969278 0.123086 -999 -999 -999
-999 -999 -999 0.955453 0.135193 -999 -999 -999
-999 -999 -999 0.943164 0.116462 -999 -999 -999
-999 -999 -999 0.908346 0.100453 -999 -999 -999
-999 -999 -999 0.898618 0.083769 -999 -999 -999
-999 -999 -999 0.891449 0.081015 -999 -999 -999
-999 -999 -999 0.859191 0.049502 -999 -999 -999
-999 -999 -999 0.002560 0.138288 -999 -999 -999
-999 -999 -999 0.006144 -0.109251 -999 -999 -999
-999 -999 -999 0.009729 -0.270818 -999 -999 -999
-999 -999 -999 0.011777 -0.320498 -999 -999 -999
-999 -999 -999 0.015361 -0.356636 -999 -999 -999
-999 -999 -999 0.017921 -0.392403 -999 -999 -999
-999 -999 -999 0.020481 -0.420629 -999 -999 -999
-999 -999 -999 0.024578 -0.475960 -999 -999 -999
-999 -999 -999 0.041987 -0.507438 -999 -999 -999
-999 -999 -999 0.046083 -0.526511 -999 -999 -999
-999 -999 -999 0.047619 -0.529309 -999 -999 -999
-999 -999 -999 0.086534 -0.598360 -999 -999 -999
-999 -999 -999 0.090118 -0.614236 -999 -999 -999
-999 -999 -999 0.139785 -0.674502 -999 -999 -999
-999 -999 -999 0.109063 -0.632612 -999 -999 -999
-999 -999 -999 0.144393 -0.693698 -999 -999 -999
-999 -999 -999 0.220686 -0.731116 -999 -999 -999
-999 -999 -999 0.226831 -0.703111 -999 -999 -999
-999 -999 -999 0.235023 -0.700903 -999 -999 -999
-999 -999 -999 0.316948 -0.715425 -999 -999 -999
-999 -999 -999 0.438812 -0.760251 -999 -999 -999
-999 -999 -999 0.429083 -0.759760 -999 -999 -999
-999 -999 -999 0.426523 -0.758431 -999 -999 -999
-999 -999 -999 0.348694 -0.754563 -999 -999 -999
-999 -999 -999 0.420891 -0.757134 -999 -999 -999
-999 -999 -999 0.519201 -0.768542 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=9.420800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.435918 -999 -999 -999
-999 -999 -999 0.987711 0.270854 -999 -999 -999
-999 -999 -999 0.986687 0.254240 -999 -999 -999
-999 -999 -999 0.654378 -0.570722 -999 -999 -999
-999 -999 -999 0.612391 -0.677495 -999 -999 -999
-999 -999 -999 0.740399 -0.336862 -999 -999 -999
-999 -999 -999 0.715310 -0.408586 -999 -999 -999
-999 -999 -999 0.791603 -0.165144 -999 -999 -999
-999 -999 -999 0.830005 0.026263 -999 -999 -999
-999 -999 -999 0.002560 0.168974 -999 -999 -999
-999 -999 -999 0.000000 0.454554 -999 -999 -999
-999 -999 -999 0.002560 0.141836 -999 -999 -999
-999 -999 -999 0.984639 0.235012 -999 -999 -999
-999 -999 -999 0.969790 0.089200 -999 -999 -999
-999 -999 -999 0.956477 0.120649 -999 -999 -999
-999 -999 -999 0.943676 0.118058 -999 -999 -999
-999 -999 -999 0.907834 0.088187 -999 -999 -999
-999 -999 -999 0.898618 0.067034 -999 -999 -999
-999 -999 -999 0.892473 0.063480 -999 -999 -999
-999 -999 -999 0.862775 0.029247 -999 -999 -999
-999 -999 -999 0.002560 0.115841 -999 -999 -999
-999 -999 -999 0.006656 -0.101839 -999 -999 -999
-999 -999 -999 0.010241 -0.261924 -999 -999 -999
-999 -999 -999 0.012289 -0.336153 -999 -999 -999
-999 -999 -999 0.014849 -0.365839 -999 -999 -999
-999 -999 -999 0.017921 -0.395666 -999 -999 -999
-999 -999 -999 0.021505 -0.422871 -999 -999 -999
-999 -999 -999 0.025090 -0.481955 -999 -999 -999
-999 -999 -999 0.040963 -0.461229 -999 -999 -999
-999 -999 -999 0.046083 -0.477260 -999 -999 -999
-999 -999 -999 0.048643 -0.480484 -999 -999 -999
-999 -999 -999 0.086534 -0.601011 -999 -999 -999
-999 -999 -999 0.091142 -0.629135 -999 -999 -999
-999 -999 -999 0.140809 -0.673037 -999 -999 -999
-999 -999 -999 0.115207 -0.629999 -999 -999 -999
-999 -999 -999 0.144905 -0.692191 -999 -999 -999
-999 -999 -999 0.222734 -0.707317 -999 -999 -999
-999 -999 -999 0.228367 -0.698446 -999 -999 -999
-999 -999 -999 0.235023 -0.700613 -999 -999 -999
-999 -999 -999 0.318996 -0.708993 -999 -999 -999
-999 -999 -999 0.444956 -0.744013 -999 -999 -999
-999 -999 -999 0.431644 -0.748024 -999 -999 -999
-999 -999 -999 0.427547 -0.746131 -999 -999 -999
-999 -999 -999 0.350230 -0.747937 -999 -999 -999
-999 -999 -999 0.419867 -0.751986 -999 -999 -999
-999 -999 -999 0.518689 -0.756486 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=9.625600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.432281 -999 -999 -999
-999 -999 -999 0.987711 0.217097 -999 -999 -999
-999 -999 -999 0.986687 0.199692 -999 -999 -999
-999 -999 -999 0.657962 -0.498461 -999 -999 -999
-999 -999 -999 0.612903 -0.597398 -999 -999 -999
-999 -999 -999 0.740399 -0.288658 -999 -999 -999
-999 -999 -999 0.716334 -0.357990 -999 -999 -999
-999 -999 -999 0.789555 -0.159581 -999 -999 -999
-999 -999 -999 0.830517 0.005793 -999 -999 -999
-999 -999 -999 0.002048 0.194373 -999 -999 -999
-999 -999 -999 0.000000 0.424281 -999 -999 -999
-999 -999 -999 0.002560 0.171128 -999 -999 -999
-999 -999 -999 0.984127 0.184917 -999 -999 -999
-999 -999 -999 0.969278 0.069848 -999 -999 -999
-999 -999 -999 0.956477 0.116090 -999 -999 -999
-999 -999 -999 0.943164 0.121241 -999 -999 -999
-999 -999 -999 0.906810 0.074361 -999 -999 -999
-999 -999 -999 0.898105 0.046590 -999 -999 -999
-999 -999 -999 0.892473 0.043146 -999 -999 -999
-999 -999 -999 0.865335 0.005101 -999 -999 -999
-999 -999 -999 0.002560 0.129099 -999 -999 -999
-999 -999 -999 0.006656 -0.089479 -999 -999 -999
-999 -999 -999 0.010753 -0.253741 -999 -999 -999
-999 -999 -999 0.012289 -0.299214 -999 -999 -999
-999 -999 -999 0.014849 -0.341947 -999 -999 -999
-999 -999 -999 0.017921 -0.369516 -999 -999 -999
-999 -999 -999 0.022017 -0.396850 -999 -999 -999
-999 -999 -999 0.025090 -0.470719 -999 -999 -999
-999 -999 -999 0.039939 -0.488656 -999 -999 -999
